"answer","id_nilai","pegawai_id_pegawai","ampu_id_ampu","semester_id_semester","quest_1","quest_2","quest_3","quest_4","quest_5","quest_6","quest_7","quest_8","quest_9","quest_10","author"
"mudah dimengerti dalam memberikan materi","5","182","201","20121","4","4","4","4","4","4","4","4","4","4","194"
"Harus ada trik/tips meningkatkan minat belajar mahasiswa","15","135","71","20121","3","3","3","3","3","2","1","2","3","3","193"
"Memberikan contoh dengan baik dan rinci","18","135","71","20121","3","2","2","3","3","2","3","2","2","3","193"
"Sulit dipahami jika menjelaskan materi di white board","20","135","71","20121","3","3","2","4","3","2","4","2","3","3","193"
"Semoga kedepannya lebih baik","24","135","71","20121","3","3","3","3","3","2","1","2","3","3","193"
"Harus memberikan contoh secara detail dipapan, tulisan mohon diperbesar","27","135","71","20121","4","3","3","3","4","4","2","3","2","3","193"
"Pahami mahasiswa dengan baik tapi over all ibu keren kok:)","30","135","71","20121","3","2","2","3","3","3","2","3","3","4","193"
"Apabila menjelaskan sebaiknya menggunakan kata yang mudah dimengerti jangan terlalu tinggi penggunaan bahasanya","31","135","71","20121","3","3","3","3","3","3","3","3","3","3","193"
"Penjelasan saat mengajar masih global jadi saya sering tidak bisa bila menerapkannya pada suatu kasus","36","135","71","20121","3","3","3","3","3","3","1","1","3","3","193"
"Hadapi dengan senyuman!!","38","109","3","20121","3","3","3","4","3","2","2","3","3","3","198"
"Beri contoh kasus kadang contoh kasus kurang dipahami","39","135","71","20121","3","2","3","3","3","2","4","3","3","3","193"
"Cemu-mut Ibu","40","109","3","20121","4","4","4","4","4","2","2","3","3","3","198"
"Selalu sabar dan tetap semangat bu!!! Cemungut","42","109","3","20121","3","3","3","4","3","2","3","3","3","3","198"
"Tolong lebih detail dalam menjelaskan , diberi contoh, jangan secara umum","45","135","71","20121","4","3","2","4","3","3","1","2","3","3","193"
"Sudah baik dalam Mengajar","46","109","3","20121","3","4","4","4","4","2","4","3","4","3","198"
"Good","47","125","33","20121","3","4","4","4","4","3","4","4","4","4","195"
"Sudah lebih baik","48","109","3","20121","3","3","4","4","4","2","4","3","4","3","198"
"No Coment","50","109","3","20121","4","4","4","4","4","4","4","4","4","4","198"
"lebih Tepat waktu memulai perkuliahannya","62","109","3","20121","3","3","3","4","3","3","2","3","3","3","198"
"Kalau menjelaskan yang lebih detail dan harus bisa memberi solusi","64","135","71","20121","3","3","3","3","3","2","3","2","3","3","193"
"Contoh pada materi yang disampaikan seharusnya lebih sederhana dan mudah di mengerti","66","117","15","20121","3","3","3","4","2","3","3","3","3","3","199"
"Masuk suma gara-gara belum mengambil matkul bhs indonesia terus tdk bs mengambil matkul metopen... Ibunya sangat memehami materi dalam proses belajar mengajar bagus banget....","69","109","3","20121","4","3","4","4","3","1","2","4","3","4","198"
"Tingkatkan Terus,metode sudah sangat baik","71","125","33","20121","4","4","4","4","4","3","3","3","3","4","195"
"Masa gara-gara blm mengambil matakuliah bhs indonesia... tdk bisa mengambil matakuliah metopen... Mesake sing angkatan atas Broo.. Dalam mengajar ibu sangat TOP BGT","72","109","3","20121","4","4","4","3","4","4","3","3","4","4","198"
"Mungkin bisa ditambahkan beberapa jenis contoh-contoh program pada setiap materi perkuliahan agar lebih variasi","73","117","15","20121","4","4","3","4","3","2","3","3","4","2","199"
"Perbanyak tugas untuk melatih kinerja mahasiswa","74","109","3","20121","3","3","3","4","3","1","2","4","3","4","198"
"Lebih banyak memberikan contoh saat selesai menerangkan","79","117","15","20121","3","3","3","4","3","2","4","3","3","3","199"
"Tingkatkan Kwalitas Pembelajaran","83","109","3","20121","3","3","3","4","3","2","2","3","3","3","198"
"Terima Kasih","88","117","15","20121","3","3","3","4","4","3","4","3","4","4","199"
"Perkuliahannya di tingkatkan","90","125","33","20121","3","4","3","3","3","4","4","4","4","4","195"
"Tidak ada komentar","91","117","15","20121","3","3","3","4","4","3","4","3","4","4","199"
"The best buat pak ardi","92","125","33","20121","4","4","4","4","4","4","4","4","4","4","195"
"Saya harap bisa lebih baik lagi","96","117","15","20121","3","3","3","4","3","2","3","3","3","3","199"
"Pertahankan Cemungut...cemungut...","98","117","15","20121","4","4","3","4","3","1","4","3","3","4","199"
"Saran : Bapak yang sangat mendidik harus tetap dipertahankan pak","99","117","15","20121","4","4","3","4","3","1","4","3","3","4","199"
"Teruslah menjadi diri sendiri keep smile a arigato","100","117","15","20121","4","4","3","4","3","1","3","3","3","3","199"
"Kalau bisa saat memberikan materi jangan terlalu cepat menjelaskan ....?","102","117","15","20121","4","4","4","3","3","2","4","3","4","4","199"
"Cara dosen mengajar kurang dapat dimengerti/jelas cara belajar kurang efektif, perlu contoh yg leih jelas &mendetail; lagi","106","117","15","20121","4","3","3","4","3","2","4","2","3","3","199"
