"Id Dosen","Id Mata Kuliah","Sentimen Positif (%)","Sentimen Netral (%)","Sentimen Negatif (%)"
"238","90001176","60.0","0.0","40.0"
"286","90001206","58.33","0.0","41.67"
"286","90001062","54.55","0.0","45.45"
"237","90001189","43.75","0.0","56.25"
"178","90001179","42.86","0.0","57.14"
"319","90001235","39.47","0.0","60.53"
"302","90001188","37.78","0.0","62.22"
"123","90001010","35.42","0.0","64.58"
"185","90001080","36.0","0.0","64.0"
"186","90001077","34.62","0.0","65.38"
"264","90001127","33.33","0.0","66.67"
"185","90001079","32.76","0.0","67.24"
"294","90000972","31.15","0.0","68.85"
"260","90001205","32.31","0.0","67.69"
"238","90001149","31.51","0.0","68.49"
"314","90001051","32.43","0.0","67.57"
"314","90001050","33.33","0.0","66.67"
"176","90001161","32.89","0.0","67.11"
"303","90001061","33.77","0.0","66.23"
"293","90001002","32.14","1.19","66.67"
"175","90001155","31.4","1.16","67.44"
"322","90001178","30.77","1.1","68.13"
"223","90001123","31.63","1.02","67.35"
"126","90001021","32.0","1.0","67.0"
