"Id Dosen","Id Mata Kuliah","Sentimen Positif (%)","Sentimen Netral (%)","Sentimen Negatif (%)"
"137","90001355","100.0","0.0","0.0"
"345","90001513","100.0","0.0","0.0"
"336","90001420","42.86","0.0","57.14"
"256","90001386","37.5","0.0","62.5"
"353","90001753","35.71","0.0","64.29"
"256","90001385","27.27","0.0","72.73"
"352","90001567","23.33","0.0","76.67"
"191","90001525","21.88","0.0","78.13"
"336","90001421","21.21","0.0","78.79"
"349","90001548","21.62","0.0","78.38"
"294","90001324","21.05","0.0","78.95"
"294","90001325","23.81","0.0","76.19"
"340","90001468","23.26","0.0","76.74"
"185","90001483","25.0","0.0","75.0"
"291","90001446","30.51","1.69","67.8"
"235","90001427","29.03","1.61","69.35"
"237","90001597","29.85","1.49","68.66"
"295","90001393","28.57","1.43","70.0"
"353","90001583","29.33","1.33","69.33"
"251","90001338","28.95","1.32","69.74"
"132","90001364","27.85","1.27","70.89"
"185","90001533","27.91","1.16","70.93"
"341","90001469","30.43","1.09","68.48"
"348","90001512","30.93","1.03","68.04"
"317","90001494","30.61","1.02","68.37"
"317","90001490","32.0","1.0","67.0"
