answer,preprocessing_result,sentimen
mudah dimengerti dalam memberikan materi,mudah erti beri materi,1
Harus ada trik/tips meningkatkan minat belajar mahasiswa,ada trik tips tingkat minat ajar mahasiswa,0
Memberikan contoh dengan baik dan rinci,beri contoh baik rinci,1
Sulit dipahami jika menjelaskan materi di white board,sulit paham jelas materi white board,0
Semoga kedepannya lebih baik,moga depan lebih baik,1
"Harus memberikan contoh secara detail dipapan, tulisan mohon diperbesar",beri contoh cara detail papan tulis mohon besar,1
Pahami mahasiswa dengan baik tapi over all ibu keren kok:),paham mahasiswa baik over all ibu keren kok,1
Apabila menjelaskan sebaiknya menggunakan kata yang mudah dimengerti jangan terlalu tinggi penggunaan bahasanya,apabila jelas baik kata mudah erti jangan terlalu tinggi bahasa,0
Penjelasan saat mengajar masih global jadi saya sering tidak bisa bila menerapkannya pada suatu kasus,jelas ajar global jadi sering bisa bila terap suatu kasus,0
Hadapi dengan senyuman!!,hadap senyum,1
Beri contoh kasus kadang contoh kasus kurang dipahami,beri contoh kasus kadang contoh kasus kurang paham,0
Cemu-mut Ibu,cemu-mut ibu,0
Selalu sabar dan tetap semangat bu!!! Cemungut,selalu sabar tetap semangat bu cemungut,1
"Tolong lebih detail dalam menjelaskan , diberi contoh, jangan secara umum",lebih detail jelas beri contoh jangan cara umum,0
Sudah baik dalam Mengajar,baik ajar,0
Good,good,0
Sudah lebih baik,lebih baik,1
No Coment,no coment,1
lebih Tepat waktu memulai perkuliahannya,lebih tepat waktu mulai kuliah,0
Kalau menjelaskan yang lebih detail dan harus bisa memberi solusi,kalau jelas lebih detail harus beri solusi,1
Contoh pada materi yang disampaikan seharusnya lebih sederhana dan mudah di mengerti,contoh materi sampai lebih sederhana mudah erti,0
Masuk suma gara-gara belum mengambil matkul bhs indonesia terus tdk bs mengambil matkul metopen... Ibunya sangat memehami materi dalam proses belajar mengajar bagus banget....,masuk suma gara-gara ambil matkul bhs indonesia terus tdk bs ambil matkul metopen ibu sangat ham materi proses ajar ajar bagus banget,0
"Tingkatkan Terus,metode sudah sangat baik",tingkat terus metode sangat baik,1
Masa gara-gara blm mengambil matakuliah bhs indonesia... tdk bisa mengambil matakuliah metopen... Mesake sing angkatan atas Broo.. Dalam mengajar ibu sangat TOP BGT,masa gara-gara blm ambil matakuliah bhs indonesia tdk ambil matakuliah metopen mesake sing angkat atas broo ajar ibu sangat top bgt,1
Mungkin bisa ditambahkan beberapa jenis contoh-contoh program pada setiap materi perkuliahan agar lebih variasi,mungkin tambah beberapa jenis contoh program tiap materi kuliah lebih variasi,0
Perbanyak tugas untuk melatih kinerja mahasiswa,banyak tugas latih kerja mahasiswa,0
Lebih banyak memberikan contoh saat selesai menerangkan,lebih banyak beri contoh selesai terang,1
Tingkatkan Kwalitas Pembelajaran,tingkat kwalitas ajar,0
Terima Kasih,terima kasih,1
Perkuliahannya di tingkatkan,kuliah tingkat,0
Tidak ada komentar,ada komentar,0
The best buat pak ardi,the best buat pak ardi,1
Saya harap bisa lebih baik lagi,harap lebih baik,1
Pertahankan Cemungut...cemungut...,tahan cemungut cemungut,0
Saran : Bapak yang sangat mendidik harus tetap dipertahankan pak,saran bapak sangat didik tetap tahan pak,1
Teruslah menjadi diri sendiri keep smile a arigato,terus jadi diri sendiri keep smile a arigato,0
Kalau bisa saat memberikan materi jangan terlalu cepat menjelaskan ....?,kalau saat beri materi jangan terlalu cepat jelas,0
"Cara dosen mengajar kurang dapat dimengerti/jelas cara belajar kurang efektif, perlu contoh yg leih jelas &mendetail; lagi",cara dosen ajar kurang erti jelas cara ajar kurang efektif perlu contoh yg leih jelas detail,0
Lebih Jelas lagi pak jelasinnya..........hehehe.....,lebih jelas pak jelasinnya hehehe,1
Dosen Menjelaskan Terlalu Cepat,dosen jelas terlalu cepat,0
"Dalam menjelaskan agak terlalu cepat, penilaian semoga menguntungkan siswa",jelas terlalu cepat nilai moga untung siswa,0
Lanjutkan dan tingkatkan kualitas pembelajaran jangan ngasih tugas yang susah-susah,lanjut tingkat kualitas ajar jangan ngasih tugas susah,0
Cara mengajar dosen kurang dapat di pahami,cara ajar dosen kurang di paham,0
Memahami kemampuan mahasiswa dlm menerima materi,paham mampu mahasiswa dlm terima materi,1
Masih bingung dalam menerapkan program,bingung terap program,0
"Lebih banyak lagi memeberi motivasi untuk mahasiswa, selalu tepat waktu",lebih banyak memeberi motivasi mahasiswa selalu tepat waktu,1
"Tepat waktu tidak pernah inhal, pemberian motivasi cukup membangun",tepat waktu pernah inhal beri motivasi cukup bangun,1
Selalu memberikan semangat belajar kepada para mahasiswa,selalu beri semangat ajar para mahasiswa,1
Dosen seharusnya lebih santai agar mahasiswa dapat mempelajarinya,dosen lebih santai mahasiswa ajar,0
dengan ini saya sarankan kepada ibu guru agar mengajarnya tdk terlalu serius,ini saran ibu guru ajar tdk terlalu serius,0
Ibu tolong terangkannya di kasi pelan-pean bu....,ibu terang kasi pelan-pean bu,1
Ibu sangat kreativ jadi dosen,ibu sangat kreativ jadi dosen,0
Jangan terlalu cepat memberikan penjelasan,jangan terlalu cepat beri jelas,0
semangat!!,semangat,1
Ibu harus lebih baik dan lebih baik lagi good luck....!,ibu lebih baik lebih baik good luck,1
Mengajarnya jangan terlalu cepat,ajar jangan terlalu cepat,0
Tingkatkan,tingkat,0
Tingkatkan!!,tingkat,0
Lanjutkan,lanjut,0
Bagus mengajarnya dan tingkatkan,bagus ajar tingkat,0
Tugasnya jangan yang panjang-panjang bu !!,tugas jangan panjang bu,0
Kurangi tugas,kurang tugas,0
"Cocok jd dosen logika inform, lucu dan memberikan materi dgn sabar & jelas.",cocok jd dosen logika inform lucu beri materi dgn sabar jelas,1
Karena mata kuliah bhs ind. mungkin bagi kebanyakan mhs kurang begitu menarik bagi kalangan jurusan t. inf. khususnya maka lebih kepada berikan pertanyaan pada mhs,mata kuliah bhs ind mungkin banyak mhs kurang tarik kalang jurus t inf khusus lebih ikan tanya mhs,1
Ibu jgn galak2 dong kalo lagi ngajar,ibu jgn galak2 dong kalo ngajar,1
"Asik perkuliannya, disiplin waktu",asik kuli disiplin waktu,0
Kasih banyak contoh bu !!,kasih banyak contoh bu,1
"Cara mengajar sudah cukup bagus, lebih ditingkatkan .....",cara ajar cukup bagus lebih tingkat,0
Tolong bu bagiin hasil UTS.,bu bagiin hasil uts,1
Agar terus mengembangkan,terus kembang,0
Jangan ngasih banyak tugas,jangan ngasih banyak tugas,0
"Punten, bagikan hasil ujian.",punten hasil uji,1
Good !!,good,0
Pengajarannya gak usah terburu2 ya.,ajar gak usah terburu2,0
Lanjutkan....,lanjut,0
Tetap dipertahankan,tetap tahan,1
Bu tolong terangkannya pelan2.,bu terang pelan2,1
Kasihan sama mahasiswa bu....,kasihan sama mahasiswa bu,0
Memberikan contoh yg mudah dipahami.,beri contoh yg mudah paham,0
Ditingkatkan terus kualitas dosen pengajar agar akreditasinya naik  lus ciyuss lho,tingkat terus kualitas dosen ajar akreditasi naik lus ciyuss lho,0
"Kalau menulis jangan terlalu cepat Bu, menjelaskannya juga terlalu cepat",kalau tulis jangan terlalu cepat bu jelas terlalu cepat,0
Logika cool.....,logika cool,0
Tambah humoris lagi dong Bu...!,tambah humoris dong bu,1
Good !!!,good,0
Dosen yg cool... pokoknya..,dosen yg cool pokok,0
"Ganbate - kudasai, Sensei",ganbate - dasa sensei,0
Tingkatkan lagi prestasinya.,tingkat prestasi,1
"Joss !! Getar , membahana badai..",joss getar bahana badai,1
Maju terus !!!,maju terus,0
Getar membahana badai gelombang !!,getar bahana badai gelombang,1
Tingkatkan,tingkat,0
Ciyus...,ciyus,0
Best Dosen 2012 !,best dosen 2012,0
Keep Istiqomah dalam menjalankan amanah sebagai seorang dosen.,keep istiqomah jalan amanah bagai orang dosen,0
Sangat baik cara mengajarnya.,sangat baik cara ajar,0
Soal ujian akhirnya jangan susah-susah yaa bu...,soal uji akhir jangan susah yaa bu,1
Tetap ngajar di uad.,tetap ngajar uad,1
semangat buu,semangat buu,1
Lanjutkan....,lanjut,0
Cukup baik bu... terimakasih,cukup baik bu terimakasih,1
Cemungut...,cemungut,0
Tolong Penjelasannya thd soal lbh jelas dan banyak.,jelas thd soal lbh jelas banyak,0
Berikan lebih banyak contoh.,ikan lebih banyak contoh,0
Siip keren,siip keren,1
"Dijelaskan dg praktiknya, spt maple, raptor, dll dlm mengajar.",jelas dg praktik spt maple raptor dlm ajar,0
Tetap semangat ngajarnya,tetap semangat ngajarnya,1
Penyampaian materi di dlm kelas jgn terlalu cepat. ada bbrp mhs yg kurang bisa menangkap materi.,materi dlm kelas jgn terlalu cepat bbrp mhs yg kurang tangkap materi,0
Sangat memberi motivasi,sangat beri motivasi,1
Penyampaian materi sudah cukup baik.,materi cukup baik,1
"Jgn terlalu cepat, krn kadang mhs kurang memahami",jgn terlalu cepat krn kadang mhs kurang paham,0
Tetap,tetap,1
Cara mengajarnya bisa Masuk,cara ajar masuk,0
"Penyampaian materi mohon diperjelas, usahakan agar mhs cepat menagkap apa yg disampaikan",materi mohon jelas usaha mhs cepat menagkap apa yg,0
bikin gak mood !!,bikin gak mood,0
Bosen...,bosen,0
Gak asik banget,gak asik banget,1
Materi gak jelas,materi gak jelas,0
Kurang jelas dalam menyampiakan materi,kurang jelas menyampiakan materi,0
Bikin ngantuk,bikin ngantuk,0
Kurang jelas dalam menerangkan materi sehingga bikin bete,kurang jelas terang materi bikin bete,0
No komen !!! Instrospeksi,no komen instrospeksi,1
Diet donk...!,diet donk,0
Dosen nggak jelas,dosen jelas,0
Tetap semangat & tetap tersenyum.,tetap semangat tetap senyum,1
 penggantikuliah yg kosong jangan tgl 31 desember  mau dolan kita semua....,penggantikuliah yg kosong jangan tgl 31 desember mau dolan semua,0
oke,oke,0
Bikin males alias ngantuk,bikin males alias ngantuk,0
Top banget,top banget,1
sadis !!!,sadis,0
Tambah pusing bahasa inggrisnya,tambah pusing bahasa inggris,1
Bagus Lanjutkan Pak,bagus lanjut pak,1
hancur dah...,hancur dah,1
Terimakasih utk dosen Alin Tolong di tingkatkan,terimakasih utk dosen alin di tingkat,0
elok,elok,0
lanjutkan Pak,lanjut pak,1
"Dari pilihan saya , anda bisa menyimpulkan",pilih anda simpul,0
berikan contoh yg lebih banyak lagi,ikan contoh yg lebih banyak,0
terlalu sempurna untuk di komentari,terlalu sempurna di komentar,0
Mungkin untuk materi berbasa inggria lebih baik diterjemahkan untuk memudahkan mhs yg blm terlalu mahir bhs inggria,mungkin materi basa inggria lebih baik terjemah mudah mhs yg blm terlalu mahir bhs inggria,0
Tingkatkan cara mengajarnya....,tingkat cara ajar,0
saya sangat suka dengan cara mengajar bapak,sangat suka cara ajar bapak,0
Perlu ditingkatkan agar lebih baik.,perlu tingkat lebih baik,0
Lanjutkan,lanjut,0
Lanjutkan...!!,lanjut,0
Slalu gunakan metode belajar saat ini karena mhs.menyukainya,slalu metode ajar ini mhs suka,0
Tingkatkan lagi....!!,tingkat,0
joos,joos,0
Penjelasan materi harap didetailkan dengancontoh-contoh yg mudah dimengerti,jelas materi harap detail dengancontoh-contoh yg mudah erti,0
"Ibu itu kolok lg jelasin kita, ibu itu suka maksa dg kata lain kita belum setuju ibu sudah ya ya aja.",ibu kolok lg jelasin ibu suka maksa dg kata kita tuju ibu ya aja,0
"Diusahakan tdk ada kuliah kosong, sehingga ada kuliah tambahan krn bagi saya kurang efektif kuliah malam hari.",usaha tdk kuliah kosong ada kuliah tambah krn saya kurang efektif kuliah malam hari,0
Terlalu ribet dlm menjelaskan suatu contoh.,terlalu ribet dlm jelas suatu contoh,0
Cukup Susah dimengerti ketika menjelaskan suatu contoh.,cukup susah erti jelas suatu contoh,0
Mengerti pelajaran tetapi susah menjawab soal.,erti ajar susah jawab soal,0
