komentar,sentimen,preprocessing_result
mudah dimengerti dalam memberikan materi,2,mudah erti dalam beri materi
Harus ada trik/tips meningkatkan minat belajar mahasiswa,0,harus ada trik tips tingkat minat ajar mahasiswa
Memberikan contoh dengan baik dan rinci,2,beri contoh dengan baik dan rinci
Sulit dipahami jika menjelaskan materi di white board,0,sulit paham jika jelas materi di white board
Semoga kedepannya lebih baik,0,moga depan lebih baik
"Harus memberikan contoh secara detail dipapan, tulisan mohon diperbesar",0,harus beri contoh cara detail papan tulis mohon besar
Pahami mahasiswa dengan baik tapi over all ibu keren kok:),1,paham mahasiswa dengan baik tapi over all ibu keren kok
Apabila menjelaskan sebaiknya menggunakan kata yang mudah dimengerti jangan terlalu tinggi penggunaan bahasanya,0,apabila jelas baik guna kata yang mudah erti jangan terlalu tinggi guna bahasa
Penjelasan saat mengajar masih global jadi saya sering tidak bisa bila menerapkannya pada suatu kasus,0,jelas saat ajar masih global jadi saya sering tidak bisa bila terap pada suatu kasus
Hadapi dengan senyuman!!,0,hadap dengan senyum
Beri contoh kasus kadang contoh kasus kurang dipahami,0,beri contoh kasus kadang contoh kasus kurang paham
Cemumut Ibu,0,cemumut ibu
Selalu sabar dan tetap semangat bu!!! Cemungut,0,selalu sabar dan tetap semangat bu cemungut
"Tolong lebih detail dalam menjelaskan , diberi contoh, jangan secara umum",0,tolong lebih detail dalam jelas beri contoh jangan cara umum
Sudah baik dalam Mengajar,2,sudah baik dalam ajar
Good,2,good
Sudah lebih baik,2,sudah lebih baik
No Coment,1,no coment
lebih Tepat waktu memulai perkuliahannya,0,lebih tepat waktu mulai kuliah
Kalau menjelaskan yang lebih detail dan harus bisa memberi solusi,0,kalau jelas yang lebih detail dan harus bisa beri solusi
Contoh pada materi yang disampaikan seharusnya lebih sederhana dan mudah di mengerti,0,contoh pada materi yang sampai harus lebih sederhana dan mudah di erti
Ibunya sangat memehami materi dalam proses belajar mengajar bagus banget....,2,ibu sangat ham materi dalam proses ajar ajar bagus banget
"Tingkatkan Terus,metode sudah sangat baik",2,tingkat terus metode sudah sangat baik
Dalam mengajar ibu sangat TOP BGT,2,dalam ajar ibu sangat top bgt
Mungkin bisa ditambahkan beberapa jenis contohcontoh program pada setiap materi perkuliahan agar lebih variasi,0,mungkin bisa tambah beberapa jenis contohcontoh program pada tiap materi kuliah agar lebih variasi
Perbanyak tugas untuk melatih kinerja mahasiswa,0,banyak tugas untuk latih kerja mahasiswa
Lebih banyak memberikan contoh saat selesai menerangkan,0,lebih banyak beri contoh saat selesai terang
Tingkatkan Kwalitas Pembelajaran,0,tingkat kwalitas ajar
Terima Kasih,2,terima kasih
Perkuliahannya di tingkatkan,0,kuliah di tingkat
Tidak ada komentar,1,tidak ada komentar
The best buat pak ardi,2,the best buat pak ardi
Saya harap bisa lebih baik lagi,0,saya harap bisa lebih baik lagi
Pertahankan Cemungut...cemungut...,1,tahan cemungut cemungut
Saran : Bapak yang sangat mendidik harus tetap dipertahankan pak,2,saran bapak yang sangat didik harus tetap tahan pak
