"answer","id_nilai","pegawai_id_pegawai","ampu_id_ampu","semester_id_semester","quest_1","quest_2","quest_3","quest_4","quest_5","quest_6","quest_7","quest_8","quest_9","quest_10","author"
"Nice dosen seperti ini perlu diperbanyak","38802","182","90001223","20152","4","3","4","3","3","3","4","4","3","4","311"
"Nice","38803","182","90001223","20152","3","2","2","4","3","2","2","2","3","2","311"
"Risetnya sip","38805","182","90001223","20152","4","4","4","4","4","4","4","4","4","4","311"
"Lanjutkan!!Gaji kurang minta ke UAD yang penting bapak tetap di UAD","38806","182","90001223","20152","4","4","4","4","4","4","4","4","4","4","311"
"Sempurna","38809","182","90001223","20152","4","4","4","4","4","4","4","4","4","4","311"
"Referensi mungkin lebih dishare lagiuntuk proyek setiap pertemuan mungkin diadakanmembawa alat peraga yang sesuai dengan materi kuliah","38815","182","90001223","20152","4","4","3","4","4","2","4","4","4","2","311"
"Tingkatkan dan jadikan teladan/contoh untuk dosen-dosen lain dalam mengajar","38826","182","90001223","20152","4","4","4","4","4","3","4","4","4","4","311"
"Good Job","38828","182","90001223","20152","4","4","4","4","4","4","4","4","4","4","311"
"Sangat Bagus","38830","182","90001223","20152","4","4","4","4","4","4","4","4","4","4","311"
"Oke","38831","255","90001017","20152","4","4","4","4","4","4","4","4","4","4","199"
"Maju terus pak","38834","255","90001017","20152","3","3","3","3","3","3","3","3","3","3","199"
"Mantap Pak","38839","255","90001017","20152","3","3","3","3","3","3","3","3","3","3","199"
"Mohon penjelasan lebih dan saat menggunakan slide di jeda beri mahasiswa menulis","38851","255","90001017","20152","3","4","3","4","3","1","2","3","4","3","199"
"Subhanallah mantap","38852","255","90001017","20152","3","3","3","3","3","3","3","3","3","3","199"
"Cara mengajarnya harus ditingkatkan  pada soalnya gak ada memotivasi mahasiswa, dan kalau bisa gunakan slide bahasa indonesia biar ngerti semua, biar nyatet","38853","255","90001017","20152","2","2","1","2","2","1","3","1","1","1","199"
"UAS open book terlalu banyak untuk hafal materinya, dikelas sudah lumayan","38854","255","90001017","20152","2","3","2","2","2","3","2","3","3","3","199"
"Sebelum UAS semoga memberi kisi-kisi yang jelas","38855","255","90001017","20152","3","3","3","3","3","1","3","2","3","3","199"
"Masya Allah Mantap","38858","255","90001017","20152","3","3","3","3","3","3","3","3","3","3","199"
"Minta di enakin nilainya","38863","251","90001315","20152","3","3","3","3","3","3","3","3","3","3","289"
"Menjadi dosen yang paling sering mengucapkan kata adalah","38864","251","90001315","20152","4","3","2","4","3","3","2","4","4","4","289"
"Perbanyak tugas dan latihan","38881","251","90001315","20152","4","4","4","4","4","4","3","4","4","4","289"
"Kembalikan soal-soal yang sudah dikerjakan","38882","251","90001315","20152","3","2","1","3","2","1","2","2","2","2","289"
"Saya harap Bapak tidak terlalu banyak membuat tugas karena makul yang lain tidak fokus karna waktu banyak untuk memikirkan alpro","38884","132","90000965","20152","3","3","2","2","3","2","3","1","1","3","311"
"Jangan terlalu banyak memberikan tugas karena mahasiswa cuma manusia biasa yang punya batasan kemamouan semoga dosen berhati baik","38885","132","90000965","20152","3","4","3","4","3","2","4","3","4","3","311"
"Bayar mahal fasilitas kekok! uang gedung sampe 6jt, gedung gak jadi, sampaikan Pak","38886","132","90000965","20152","3","3","1","3","4","2","4","1","2","3","311"
"Kurang keras menjelaskan ok!","38887","132","90000965","20152","4","3","2","1","3","1","3","4","4","4","311"
"Bingung dengan tugas yang diberikan","38890","132","90000965","20152","4","4","3","3","3","2","4","3","4","3","311"
"Good","38893","132","90000965","20152","3","4","4","4","4","4","4","4","4","4","311"
"Kurang memberikan demo ngodingkurang jelas instruksi saat memberikan tugas","38896","132","90000965","20152","3","3","3","3","3","2","3","2","1","3","311"
"Jangan terlalu menekan","38908","132","90000965","20152","3","3","3","3","3","3","3","3","3","1","311"
"Menjelaskan materi terlalu serius, jangan bukan materi disampaikan","38911","132","90000965","20152","3","3","3","3","3","2","3","2","3","2","311"
"Metode pembelajaran yang kurang menarik, sehingga membuat mahasiswa tidak tertarik belajar","38912","132","90000965","20152","1","1","1","1","1","1","1","1","1","1","311"
"Lebih jelas lagi!! dan awali lalu akhiri dengan berdoa","38915","175","90001157","20152","3","2","2","3","3","2","2","2","2","2","311"
