"answer","id_nilai","pegawai_id_pegawai","ampu_id_ampu","semester_id_semester","quest_1","quest_2","quest_3","quest_4","quest_5","quest_6","quest_7","quest_8","quest_9","quest_10","author"
"Semangat ....","354","140","84","20121","3","3","4","4","3","3","3","3","4","4","199"
"Terus semangat bu !","359","140","84","20121","3","3","3","4","3","2","2","4","3","3","199"
"Konsisten jika membuat kesepakatan, misal : keterlambatan mahasiswa 15 menit.","364","185","134","20121","4","4","4","3","3","3","3","4","4","4","198"
"Kalau bisa ada tugas prakteknya agar mahasiswa lebih paham tentang dunia kewirausahaan","368","185","134","20121","4","3","4","4","3","3","3","3","4","4","198"
"Jangan Pelit-pelit nilai ya bu....","369","140","84","20121","3","3","3","4","3","4","3","3","3","3","199"
"Banyak beri contoh dalam penjelasan materi","370","185","134","20121","4","3","3","4","4","3","3","4","4","3","198"
"Mudahkan nilai bu...!","374","140","84","20121","3","3","3","3","3","3","2","3","3","2","199"
"Jika mengajar lebih aplikatif lagi... dengan berikan kasus-kasus dilapangan yang real, jika perlu di tambah dengan tugas ke lapangan secara real...","377","185","134","20121","4","4","3","3","3","2","2","3","4","3","198"
"Dalam mengenal mahasiswa mohon jgn objektif dan monoton itu-itu saja","380","185","134","20121","3","3","3","3","3","3","3","3","3","3","198"
"Menjelaskan materi terlalu serius sehingga kurang menarik mahasiswa untuk memahami terlalu dalam","383","140","84","20121","4","3","3","4","3","3","4","2","4","3","199"
"Semoga saya dapat nilai yang sangat baik","387","140","84","20121","4","3","3","4","3","1","4","3","4","4","199"
"Semoga Kami Mendapat nilai yang bagus agar lulus di mata kuliah etika profesi","391","140","84","20121","3","4","3","4","3","2","3","3","3","3","199"
"Ruang ber AC bu....","399","176","157","20121","3","4","3","4","3","3","3","2","2","3","194"
"Mencatatnya terlalu banyak","410","176","157","20121","4","4","3","4","4","3","4","4","4","4","194"
"Tepat waktu","411","151","192","20121","3","3","4","4","3","4","2","3","3","3","199"
"Lebih baik lagi","412","176","157","20121","4","3","3","3","3","4","4","2","3","3","194"
"agar ditingkatkan lagi","415","176","157","20121","4","4","4","4","4","4","4","4","4","4","194"
"sangat baik untuk memberikan materi kuliah","421","176","157","20121","4","4","4","4","4","4","4","4","4","4","194"
