"answer","id_nilai","pegawai_id_pegawai","ampu_id_ampu","semester_id_semester","quest_1","quest_2","quest_3","quest_4","quest_5","quest_6","quest_7","quest_8","quest_9","quest_10","author"
"GBU :)","4827","208","271","20122","4","4","4","4","4","4","4","4","4","4","193"
"Matdis podo wae karo alpro uangueel puol tapi iseh mending matdis","4830","208","271","20122","3","3","3","3","3","3","3","3","3","3","193"
"Perbanyak latihan daripada materi","4832","208","271","20122","2","2","2","3","3","4","3","2","3","2","193"
"Kalau bisa dipelankan dalam menjelaskan karna mahasiswa merasa terlalu cepat","4833","208","271","20122","3","3","2","2","3","4","3","2","2","2","193"
"Ibu baik banget","4835","208","271","20122","4","4","4","4","3","3","3","4","3","3","193"
"Bagus, Lanjutkan !","4837","208","271","20122","3","3","3","4","4","4","3","3","3","3","193"
"Pada saat menulis dipapan tulis mohon untuk lebih jelas dan besar. Terimakasih ","4838","208","271","20122","3","3","3","4","3","4","4","3","2","3","193"
"Bu, kalau ngajar jangan terlalu cepat dan kalau sedang mengajar pake koma ","4839","208","271","20122","3","3","3","3","3","3","3","3","3","3","193"
"Pak Muslihudin Istimewa","4842","141","305","20122","3","3","4","3","3","2","2","4","4","2","193"
"Mohon datang kuliah tepat waktu","4844","141","305","20122","3","3","3","4","3","2","1","2","3","2","193"
"Jangan sering kosong pak !!!","4847","141","305","20122","3","3","3","4","3","2","2","3","3","3","193"
"Tolong masuk kuliah tepat waktu pak","4849","141","305","20122","3","3","3","4","2","2","2","3","3","3","193"
"jangan terlalu sering datang terlambat","4850","141","305","20122","3","3","3","4","3","2","1","3","3","2","193"
"Bila waktu molor kuliah sebaiknya dikabarin terlebih dahulu, joz..joz..","4851","141","305","20122","3","3","3","3","2","2","1","3","3","3","193"
"Kadang-kadang masuknya tidak tepat pada jamnya","4855","141","305","20122","3","3","3","3","3","3","1","3","3","3","193"
"Semangat aja buat pak dosen","4856","141","305","20122","3","2","2","3","2","1","1","2","2","2","193"
"Kalau kuliah tepat waktu dong pak","4857","141","305","20122","2","2","3","3","2","2","1","2","2","3","193"
" ","4867","131","318","20122","4","4","4","4","4","1","4","4","3","4","195"
"pertahankan kinerjanya ya Pak","4869","131","318","20122","3","3","3","4","3","2","4","3","3","3","195"
"Tepat waktu Pak datangnya biar semangat kita gak menurun saat menunggu bapak","4870","131","318","20122","4","4","4","4","4","4","4","4","4","4","195"
"lebih baik lagi","4871","131","318","20122","4","4","4","4","4","2","4","3","4","4","195"
"Lanjutkan Pak .  Perlu ada penjelasan terkait materi UAS","4872","131","318","20122","3","4","3","4","3","3","3","3","4","3","195"
" ","4873","131","318","20122","3","3","3","3","3","3","3","4","3","3","195"
" ","4874","131","318","20122","4","4","4","4","4","4","4","4","4","4","195"
" ","4875","131","318","20122","4","3","4","3","3","3","4","3","3","3","195"
" ","4876","131","318","20122","4","4","4","4","3","3","3","4","4","4","195"
" ","4877","131","318","20122","4","4","4","4","4","3","3","4","4","4","195"
" ","4880","131","318","20122","3","4","4","4","3","1","2","3","3","3","195"
